(item_id,item_name,item_department,item_price)
('000731020','Bitwolf','84',437.79),
('000050674','Stringtough','84',311.76),
('000432780','Flexidy','79',221.98),
('000330092','Regrant','48',124.56),
('000653498','Toughjoyfax','60',69.92),
('000254522','Sub-Ex','26',443.80),
('000469736','Keylex','72',262.84),
('000316861','Temp','4',201.59),
('000720474','Kanlam','6',31.89),
('000768726','Bamity','66',288.08),
('000161558','Treeflex','50',416.71),
('000855719','Span','3',280.54),
('000285758','Hatity','77',91.89),
('000384264','Biodex','52',368.51),
('000099874','Tin','73',118.36),
('000513338','Tres-Zap','9',481.77),
('000048544','Wrapsafe','61',45.27),
('000101228','Bitwolf','2',310.21),
('000116914','Hatity','6',398.94),
('000420784','Stim','91',264.31),
('000215327','Job','94',45.02),
('000532411','Gembucket','87',49.67),
('000382375','Opela','86',256.52),
('000431869','Ventosanzap','89',329.49),
('000608279','Quo Lux','8',345.60),
('000679285','Fintone','85',175.68),
('000767875','Bytecard','75',96.63),
('000238863','It','18',179.21),
('000627260','Opela','9',80.95),
('000620761','Stringtough','54',371.24),
('000607522','Toughjoyfax','82',278.77),
('000258605','Opela','64',303.30),
('000682425','Biodex','8',71.39),
('000172526','Viva','69',153.88),
('000626974','Domainer','15',292.05),
('000707739','Pannier','7',291.53),
('000463084','Home Ing','10',256.07),
('000058015','Domainer','20',482.77),
('000808720','Duobam','43',334.64),
('000179004','Home Ing','16',181.22),
('000694151','Cookley','48',455.32),
('000347701','Tres-Zap','70',431.07),
('000124873','Stronghold','59',254.42),
('000951665','Bamity','9',255.93),
('000940028','Bamity','34',109.16),
('000409943','Pannier','51',89.23),
('000523806','Bigtax','81',57.48),
('000523217','Vagram','57',372.69),
('000358057','Tres-Zap','57',159.66),
('000413240','Konklux','83',68.77),
('000205675','Overhold','52',405.60),
('000520452','Quo Lux','55',73.99),
('000997786','Cardguard','76',287.00),
('000342436','Regrant','34',46.65),
('000473398','Fixflex','50',141.17),
('000743326','Holdlamis','89',84.43),
('000159914','Alpha','68',475.82),
('000617946','Quo Lux','2',220.31),
('000298067','Y-find','81',259.07),
('000289077','Viva','39',183.52),
('000146718','Toughjoyfax','54',27.76),
('000313049','Opela','57',61.77),
('000004280','Mat Lam Tam','62',357.30),
('000305472','Otcom','47',55.42),
('000830196','Home Ing','2',100.71),
('000462435','Veribet','42',242.94),
('000999337','Cardify','78',371.18),
('000667145','Zontrax','16',435.97),
('000717756','Temp','94',492.58),
('000750099','Cardify','24',181.65),
('000378796','Greenlam','54',152.12),
('000811526','Home Ing','38',278.26),
('000130129','Ronstring','1',324.97),
('000515182','Biodex','17',30.11),
('000697302','Fintone','29',114.50),
('000564673','Subin','11',382.23),
('000560737','Voltsillam','26',95.94),
('000733471','Regrant','44',105.38),
('000156880','Gembucket','82',182.10),
('000466260','Lotstring','42',228.52),
('000146087','Zamit','12',402.22),
('000212928','Opela','30',459.92),
('000904593','Ventosanzap','31',441.67),
('000819620','Bitchip','73',30.57),
('000747542','Ronstring','74',300.62),
('000135101','Alpha','66',378.65),
('000590052','Veribet','35',186.80),
('000357296','Bitwolf','7',292.78),
('000526996','Alpha','60',459.11),
('000140771','Solarbreeze','36',8.48),
('000558056','Sub-Ex','33',412.87),
('000932851','Tres-Zap','3',207.36),
('000233830','Quo Lux','49',322.57),
('000259728','Sonsing','27',306.28),
('000972405','Treeflex','55',438.62),
('000023421','Veribet','72',232.23),
('000407316','Home Ing','39',447.23),
('000447320','Treeflex','69',484.31),
('000014719','Trippledex','81',141.08),
